word,dateCreated,dateModified,guid,id,morph_type,cv_pattern,pron_number,pron
akë,2013-06-11T16:18:21Z,2018-02-04T12:01:08Z,c327173c-67e9-471a-af66-1904d621550c,akë_c327173c-67e9-471a-af66-1904d621550c,root,akə,1,akə
akëɨ,2013-07-30T10:20:58Z,2018-02-04T12:01:08Z,f9bacad7-8215-4a38-822f-62cba4ab6709,akëɨ_f9bacad7-8215-4a38-822f-62cba4ab6709,stem,akəɨ,1,akəɨ
ara wakërima,2013-07-28T19:07:06Z,2018-02-04T12:01:08Z,4744e46e-91f7-4da1-aca3-dbc613351967,ara wakërima_4744e46e-91f7-4da1-aca3-dbc613351967,discontiguous phrase,aɾa wakəɾima,1,aɾa wakəɾima
ãsẽkẽrĩma kɨkɨ,2013-07-28T19:07:07Z,2018-02-04T12:01:08Z,6e7a317a-ca9a-4cef-a3d7-471170881096,ãsẽkẽrĩma kɨkɨ_6e7a317a-ca9a-4cef-a3d7-471170881096,discontiguous phrase,ãsẽkẽɾĩma kɨkɨ,1,ãsẽkẽɾĩma kɨkɨ
ẽekẽpraɨ,2013-07-30T10:20:59Z,2018-02-04T12:01:08Z,c88c3f14-8138-4b25-9ecd-af28d50c0213,ẽekẽpraɨ_c88c3f14-8138-4b25-9ecd-af28d50c0213,stem,ẽekẽpɾaɨ,1,ẽekẽpɾaɨ
ẽẽkẽ,2013-06-11T16:18:21Z,2018-02-04T12:01:08Z,0fd1d098-41f1-48d9-86ac-a99cb5c78b6a,ẽẽkẽ_0fd1d098-41f1-48d9-86ac-a99cb5c78b6a,root,ẽẽkẽ,1,ẽẽkẽ
ẽẽkẽpraɨ,2013-07-30T10:20:59Z,2018-02-04T12:01:08Z,595032f7-56cb-4e77-890e-b520471350b1,ẽẽkẽpraɨ_595032f7-56cb-4e77-890e-b520471350b1,stem,ẽẽkẽpɾaɨ,1,ẽẽkẽpɾaɨ
ëkë,2013-06-11T16:18:21Z,2018-02-04T12:01:08Z,5e7dee9b-8424-4110-a63b-30e2876367d6,ëkë_5e7dee9b-8424-4110-a63b-30e2876367d6,root,əkə,1,əkə
ëkëi,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,c9e75d2d-0c5f-4157-9625-03533e3f4c75,ëkëi_c9e75d2d-0c5f-4157-9625-03533e3f4c75,stem,əkəi,1,əkəi
ëkëɨ,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,f99cffa2-0b2a-43fd-8f9f-f42de6098955,ëkëɨ1_f99cffa2-0b2a-43fd-8f9f-f42de6098955,stem,əkəɨ,1,əkəɨ
ëkëɨ,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,ead22bc7-f852-4bb7-91fd-6ab72ed5eb53,ëkëɨ2_ead22bc7-f852-4bb7-91fd-6ab72ed5eb53,stem,əkəɨ,1,əkəɨ
ëkëɨ,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,9deb036f-af83-4f99-b364-ef213e139ddc,ëkëɨ3_9deb036f-af83-4f99-b364-ef213e139ddc,stem,əkəɨ,1,əkəɨ
ëkëɨ,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,9bc4dfac-6a31-4c25-a31f-f2e026002007,ëkëɨ4_9bc4dfac-6a31-4c25-a31f-f2e026002007,stem,əkəɨ,1,əkəɨ
ëkëɨ,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,01449ea7-b529-42d3-9e1d-88ff8e848825,ëkëɨ5_01449ea7-b529-42d3-9e1d-88ff8e848825,stem,əkəɨ,1,əkəɨ
ëkrëkë,2013-06-11T16:18:21Z,2018-02-04T12:01:08Z,83fe23a2-c97b-45d0-b992-5a4557863ce6,ëkrëkë_83fe23a2-c97b-45d0-b992-5a4557863ce6,root,əkɾəkə,1,əkɾəkə
ëkrëkë,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,247e7079-8e81-4a8f-b7e9-601861b59ea0,ëkrëkë2_247e7079-8e81-4a8f-b7e9-601861b59ea0,stem,əkɾəkə,1,əkɾəkə
ërëkë,2013-06-11T16:18:21Z,2018-02-04T12:01:08Z,3e99d0a0-e381-4956-9939-28e39af9a47c,ërëkë_3e99d0a0-e381-4956-9939-28e39af9a47c,root,əɾəkə,1,əɾəkə
ërëkë,2013-07-30T10:21:02Z,2018-02-04T12:01:08Z,b512fba3-cea7-404d-a34b-86c01ec3aea7,ërëkë2_b512fba3-cea7-404d-a34b-86c01ec3aea7,stem,əɾəkə,1,əɾəkə
